TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
45830,0,0.260479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.260479,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-22T21:35:32Z
46828,1,0.260479,0.260479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.260479,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-22T21:35:33Z
47839,2,0.260479,0.260479,0.260479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.260479,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-22T21:35:34Z
48839,3,0.260479,0.260479,0.260479,0.260479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.260479,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-22T21:35:35Z
95996,0,0.278467,0.260479,0.260479,0.260479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.260479,0.999137,2.000000,11.000000,1.000000,0.981283,1.000000,0.260479,11.000000,0.000000,1.000000,1.000000,0.260479,11.000000,0.000000,1.000000,1.000000,0.260479,11.000000,0.000000,1.000000,1.000000,0.260479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-22T21:36:22Z
96999,1,0.278467,0.278467,0.260479,0.260479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.260479,0.998887,2.000000,11.000000,1.000000,0.981283,1.000000,0.260479,11.000000,1.000000,0.981283,1.000000,0.260479,11.000000,0.000000,1.000000,1.000000,0.260479,11.000000,0.000000,1.000000,1.000000,0.260479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-22T21:36:23Z
98014,2,0.278467,0.278467,0.278467,0.260479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.260479,0.999192,2.000000,11.000000,1.000000,0.981283,1.000000,0.260479,11.000000,1.000000,0.981283,1.000000,0.260479,11.000000,1.000000,0.981283,1.000000,0.260479,11.000000,0.000000,1.000000,1.000000,0.260479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-22T21:36:24Z
99027,3,0.278467,0.278467,0.278467,0.323764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278467,0.995440,3.000000,11.000000,1.000000,0.981283,1.000000,0.260479,11.000000,1.000000,0.981283,1.000000,0.260479,11.000000,1.000000,0.981283,1.000000,0.260479,11.000000,2.000000,0.981282,1.000000,0.260479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-22T21:36:25Z
146183,0,0.323764,0.278467,0.278467,0.323764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278467,0.994375,3.000000,11.000000,2.000000,0.981281,1.000000,0.271630,11.000000,1.000000,0.981283,1.000000,0.270344,11.000000,1.000000,0.981283,1.000000,0.270344,11.000000,2.000000,0.981282,1.000000,0.287367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-22T21:37:13Z
147199,1,0.323764,0.278467,0.278467,0.323764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278467,0.994375,2.000000,11.000000,2.000000,0.981281,1.000000,0.271630,11.000000,1.000000,0.981283,1.000000,0.271630,11.000000,1.000000,0.981283,1.000000,0.270344,11.000000,2.000000,0.981282,1.000000,0.287367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-22T21:37:14Z
