TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
44253,0,2.533296,0,0,0,0,0,0,0,0,0,0,0,2.533296,NaN,32,8,3,0.981141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:39:49Z
45253,1,2.533296,1.117497,0,0,0,0,0,0,0,0,0,0,1.117497,NaN,32,8,3,0.981141,1,0,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:39:50Z
46261,2,2.533296,1.117497,2.862378,0,0,0,0,0,0,0,0,0,1.117497,NaN,32,8,3,0.981141,1,0,9,2,1,1,0,7,1,0.915673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:39:51Z
47274,3,2.533296,1.117497,2.862378,3.030423,0,0,0,0,0,0,0,0,1.117497,NaN,32,8,3,0.981141,1,0,9,2,1,1,0,7,1,0.915673,1,0,7,1,0.969431,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:39:52Z
94488,0,2.528843,1.117497,2.862378,3.030423,0,0,0,0,0,0,0,0,1.117497,0.909206,32,8,3,0.979416,1,2.581989,9,2,1,1,1.117497,7,1,0.915673,1,3.125982,7,1,0.969431,1,3.125982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:40:39Z
95496,1,2.528843,2.867314,2.862378,3.030423,0,0,0,0,0,0,0,0,2.528843,0.995841,32,8,3,0.979416,1,2.581989,7,0,0.9993,1,1.117497,7,1,0.915673,1,3.125982,7,1,0.969431,1,3.125982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:40:40Z
96504,2,2.528843,2.867314,3.047924,3.030423,0,0,0,0,0,0,0,0,2.528843,0.994748,32,8,3,0.979416,1,2.581989,7,0,0.9993,1,1.117497,7,1,0.975029,1,3.125982,7,1,0.969431,1,3.125982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:40:41Z
97504,3,2.528843,2.867314,3.047924,2.075234,0,0,0,0,0,0,0,0,2.075234,0.980542,32,8,3,0.979416,1,2.581989,7,0,0.9993,1,1.117497,7,1,0.975029,1,3.125982,8,2,0.99967,1,3.125982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:40:42Z
144684,0,2.467333,2.867314,3.047924,2.075234,0,0,0,0,0,0,0,0,2.075234,0.979781,32,8,3,0.955594,1,2.581989,7,0,0.9993,1,1.533653,7,1,0.975029,1,3.125982,8,2,0.99967,1,2.552211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:41:29Z
145701,1,2.467333,2.901587,3.047924,2.075234,0,0,0,0,0,0,0,0,2.075234,0.979275,32,8,3,0.955594,1,2.581989,7,1,0.928216,1,1.60853,7,1,0.975029,1,3.125982,8,2,0.99967,1,2.552211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:41:30Z
146701,2,2.467333,2.901587,2.908257,2.075234,0,0,0,0,0,0,0,0,2.075234,0.982458,32,8,3,0.955594,1,2.581989,7,1,0.928216,1,1.60853,7,1,0.93035,1,3.125982,8,2,0.99967,1,2.552211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:41:31Z
147711,3,2.467333,2.901587,2.908257,2.074763,0,0,0,0,0,0,0,0,2.074763,0.982439,32,8,3,0.955594,1,2.581989,7,1,0.928216,1,1.60853,7,1,0.93035,1,3.125982,8,2,0.999443,1,2.494967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:41:32Z
195914,1,2.467333,2.953688,2.908257,2.074763,0,0,0,0,0,0,0,0,2.074763,0.981375,32,8,3,0.955594,1,2.581989,7,1,0.944883,1,1.919053,7,1,0.93035,1,3.125982,8,2,0.999443,1,2.358917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:42:20Z
197932,3,2.467333,2.953688,2.908257,2.867133,0,0,0,0,0,0,0,0,2.467333,0.99522,32,8,3,0.955594,1,2.581989,7,1,0.944883,1,1.919053,7,1,0.93035,1,3.125982,7,0,0.999237,1,2.337672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:42:22Z
204944,0,2.521737,2.953688,2.908257,2.867133,0,0,0,0,0,0,0,0,2.521737,0.996328,32,8,3,0.976665,0.952381,2.581989,7,1,0.944883,1,1.919053,7,1,0.93035,1,3.125982,7,0,0.999237,1,2.337672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:42:29Z
207055,2,2.521737,2.953688,2.867962,2.867133,0,0,0,0,0,0,0,0,2.521737,0.996506,32,8,3,0.976665,0.952381,2.581989,7,1,0.944883,1,1.966507,7,0,0.999526,0.952381,3.125982,7,0,0.999237,1,2.337672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:42:32Z
246122,1,2.521737,2.867207,2.867962,2.867133,0,0,0,0,0,0,0,0,2.521737,0.997111,32,8,3,0.976665,0.952381,2.581989,7,0,0.999262,1,2.124078,7,0,0.999526,0.952381,3.080064,7,0,0.999237,1,2.432561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:43:11Z
248134,3,2.521737,2.867207,2.867962,2.867137,0,0,0,0,0,0,0,0,2.521737,0.997111,32,8,3,0.976665,0.952381,2.581989,7,0,0.999262,1,2.124078,7,0,0.999526,0.952381,3.068204,7,0,0.999238,1,2.451217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:43:13Z
255152,0,1.389921,2.867207,2.867962,2.867137,0,0,0,0,0,0,0,0,1.389921,0.938444,32,9,3,1,0.961538,2.581989,7,0,0.999262,1,2.124078,7,0,0.999526,0.952381,3.068204,7,0,0.999238,1,2.451217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:43:20Z
257172,2,1.389921,2.867207,2.866349,2.867137,0,0,0,0,0,0,0,0,1.389921,0.938468,32,9,3,1,0.961538,2.581989,7,0,0.999262,1,2.150677,7,0,0.998964,0.961538,3.057607,7,0,0.999238,1,2.451217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:43:22Z
296323,1,1.389921,2.76285,2.866349,2.867137,0,0,0,0,0,0,0,0,1.389921,0.93973,32,9,3,1,0.961538,2.259073,7,1,0.883834,1,2.24046,7,0,0.998964,0.961538,3.031659,7,0,0.999238,1,2.512229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:44:01Z
298333,3,1.389921,2.76285,2.866349,2.926213,0,0,0,0,0,0,0,0,1.389921,0.938639,32,9,3,1,0.961538,2.259073,7,1,0.883834,1,2.24046,7,0,0.998964,0.961538,3.024529,7,1,0.936094,1,2.524798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:44:03Z
305342,0,2.081552,2.76285,2.866349,2.926213,0,0,0,0,0,0,0,0,2.081552,0.984045,32,8,4,0.743345,0.967742,2.203946,7,1,0.883834,1,2.24046,7,0,0.998964,0.961538,3.024529,7,1,0.936094,1,2.524798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:44:10Z
307364,2,2.081552,2.76285,3.024975,2.926213,0,0,0,0,0,0,0,0,2.081552,0.981698,32,8,4,0.743345,0.967742,2.203946,7,1,0.883834,1,2.265139,7,1,0.967688,0.967742,3.017999,7,1,0.936094,1,2.524798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:44:12Z
346530,1,2.081552,2.98462,3.024975,2.926213,0,0,0,0,0,0,0,0,2.081552,0.980343,32,8,4,0.743345,0.967742,2.255405,7,1,0.954778,1,2.35148,7,1,0.967688,0.967742,3.02921,7,1,0.936094,1,2.593597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:44:51Z
348540,3,2.081552,2.98462,3.024975,2.962307,0,0,0,0,0,0,0,0,2.081552,0.980048,32,8,4,0.743345,0.967742,2.255405,7,1,0.954778,1,2.35148,7,1,0.967688,0.967742,3.032448,7,1,0.94764,1,2.608405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:44:53Z
357575,2,2.081552,2.98462,2.997489,2.962307,0,0,0,0,0,0,0,0,2.081552,0.980387,32,8,4,0.743345,0.967742,2.270639,7,1,0.954778,1,2.370426,7,1,0.958895,0.972222,3.035475,7,1,0.94764,1,2.608405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:45:02Z
365608,0,1.627423,2.98462,2.997489,2.962307,0,0,0,0,0,0,0,0,1.627423,0.953074,32,9,6,0.912622,0.945946,2.285045,7,1,0.954778,1,2.370426,7,1,0.958895,0.972222,3.035475,7,1,0.94764,1,2.622412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:45:10Z
396734,1,1.627423,3.021221,2.997489,2.962307,0,0,0,0,0,0,0,0,1.627423,0.952542,32,9,6,0.912622,0.945946,2.228047,7,1,0.966487,1,2.437764,7,1,0.958895,0.972222,3.043486,7,1,0.94764,1,2.660224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:45:41Z
398752,3,1.627423,3.021221,2.997489,2.886304,0,0,0,0,0,0,0,0,1.627423,0.953289,32,9,6,0.912622,0.945946,2.228047,7,1,0.966487,1,2.437764,7,1,0.958895,0.972222,3.04585,7,1,0.923327,1,2.671597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:45:43Z
407791,2,1.627423,3.021221,2.863921,2.886304,0,0,0,0,0,0,0,0,1.627423,0.954963,32,9,6,0.912622,0.945946,2.228047,7,1,0.966487,1,2.452764,7,0,0.998117,0.97561,3.048083,7,1,0.923327,1,2.671597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:45:52Z
435881,0,1.601177,3.021221,2.863921,2.886304,0,0,0,0,0,0,0,0,1.601177,0.953001,32,9,6,0.897904,0.909091,2.196736,7,1,0.966487,1,2.480885,7,0,0.998117,0.97561,3.037852,7,1,0.923327,1,2.702611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:46:20Z
446932,1,1.601177,2.987915,2.863921,2.886304,0,0,0,0,0,0,0,0,1.601177,0.953653,32,9,6,0.897904,0.909091,2.182677,7,1,0.955832,1,2.50675,7,0,0.998117,0.97561,3.033164,7,1,0.923327,1,2.712029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:46:31Z
448950,3,1.601177,2.987915,2.863921,2.91241,0,0,0,0,0,0,0,0,1.601177,0.953326,32,9,6,0.897904,0.909091,2.182677,7,1,0.955832,1,2.50675,7,0,0.998117,0.97561,3.02873,7,1,0.931678,1,2.721038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:46:33Z
457993,2,1.601177,2.987915,2.865492,2.91241,0,0,0,0,0,0,0,0,1.601177,0.95331,32,9,6,0.897904,0.909091,2.169543,7,1,0.955832,1,2.518921,7,0,0.998665,0.978261,3.024529,7,1,0.931678,1,2.721038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:46:42Z
496154,0,1.655989,2.987915,2.865492,2.91241,0,0,0,0,0,0,0,0,1.655989,0.957353,32,9,6,0.928641,0.9,2.134857,7,1,0.955832,1,2.552721,7,0,0.998665,0.978261,3.013158,7,1,0.931678,1,2.745854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:47:21Z
497175,1,1.655989,2.862039,2.865492,2.91241,0,0,0,0,0,0,0,0,1.655989,0.959271,32,9,6,0.928641,0.9,2.134857,7,1,0.915565,1,2.563166,7,0,0.998665,0.978261,3.013158,7,1,0.931678,1,2.745854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-26T21:47:22Z
