Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),Main Min Current (mA),Main Min Power (mW),Main Min Voltage (V),Main Max Current (mA),Main Max Power (mW),Main Max Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V),USB Min Current (mA),USB Min Power (mW),USB Min Voltage (V),USB Max Current (mA),USB Max Power (mW),USB Max Voltage (V)
0.0000,-0.037,-0.186,5.028,-0.037,-0.186,5.028,-0.037,-0.186,5.028,57.41,0,0,-0.037,-0.186,0,57.41,0,5.028
0.2000,-0.033,-0.1659,5.026,-0.059,-0.2965,0,58.354,0.0503,5.028,57.437,0,0,-0.059,-0.2965,0,58.354,0.0503,5.028
0.4000,-0.041,-0.2061,5.026,-0.059,-0.2965,0,58.502,0.0704,5.03,57.599,0,0,-0.059,-0.2965,0,58.502,0.0704,5.03
0.6000,-0.012,-0.0603,5.026,-0.059,-0.2965,0,58.649,0.0704,5.03,57.773,0,0,-0.059,-0.2965,0,58.649,0.0704,5.03
0.8000,-0.014,-0.0704,5.026,-0.061,-0.3066,0,58.718,0.0704,5.03,57.518,0,0,-0.061,-0.3066,0,58.718,0.0704,5.03
1.0000,-0.029,-0.1458,5.026,-0.061,-0.3066,0,58.731,0.0704,5.03,57.909,0,0,-0.061,-0.3066,0,58.731,0.0704,5.03
1.2000,-0.015,-0.0754,5.028,-0.061,-0.3066,0,58.934,0.0704,5.03,58.071,0,0,-0.061,-0.3066,0,58.934,0.0704,5.03
1.4000,-0.031,-0.1558,5.026,-0.061,-0.3066,0,58.934,0.0704,5.03,56.44,0,0,-0.061,-0.3066,0,58.934,0.0704,5.03
1.6000,0,0,5.026,-0.061,-0.3066,0,58.934,0.0704,5.03,56.263,0,0,-0.061,-0.3066,0,58.934,0.0704,5.03
1.8000,-0.017,-0.0854,5.026,-0.061,-0.3066,0,58.934,0.0704,5.03,56.627,0,0,-0.061,-0.3066,0,58.934,0.0704,5.03
2.0000,-0.01,-0.0503,5.026,-0.061,-0.3066,0,58.934,0.0754,5.03,56.734,0,0,-0.061,-0.3066,0,58.934,0.0754,5.03
2.2000,0.012,0.0603,5.026,-0.061,-0.3066,0,58.934,0.0754,5.03,56.694,0,0,-0.061,-0.3066,0,58.934,0.0754,5.03
2.4000,-0.01,-0.0503,5.026,-0.061,-0.3066,0,58.934,0.1357,5.03,56.923,0,0,-0.061,-0.3066,0,58.934,0.1357,5.03
2.6000,-0.013,-0.0653,5.026,-0.061,-0.3066,0,58.934,0.1357,5.03,56.949,0,0,-0.061,-0.3066,0,58.934,0.1357,5.03
2.8000,-0.034,-0.1693,4.978,-0.061,-0.3066,0,126.164,0.1357,5.03,122.336,0,0,-0.061,-0.3066,0,126.164,0.1357,5.03
3.0000,-0.004,-0.0201,5.028,-0.061,-0.3066,0,126.164,0.1357,5.032,54.643,0,0,-0.061,-0.3066,0,126.164,0.1357,5.032
3.2000,-0.003,-0.0151,5.03,-0.061,-0.3066,0,126.164,0.1357,5.032,54.602,0,0,-0.061,-0.3066,0,126.164,0.1357,5.032
3.4000,-0.014,-0.0704,5.028,-0.061,-0.3066,0,126.164,0.1357,5.032,54.791,0,0,-0.061,-0.3066,0,126.164,0.1357,5.032
3.6000,-0.015,-0.0754,5.028,-0.063,-0.3168,0,126.164,0.1357,5.032,54.67,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
3.8000,0,0,5.028,-0.063,-0.3168,0,126.164,0.1357,5.032,55.021,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
4.0000,-0.033,-0.1659,5.026,-0.063,-0.3168,0,126.164,0.1357,5.032,55.195,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
4.2000,-0.025,-0.1258,5.03,-0.063,-0.3168,0,126.164,0.1357,5.032,55.37,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
4.4000,-0.015,-0.0754,5.028,-0.063,-0.3168,0,126.164,0.1357,5.032,55.423,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
4.6000,-0.01,-0.0503,5.028,-0.063,-0.3168,0,126.164,0.1357,5.032,55.598,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
4.8000,-0.017,-0.0855,5.028,-0.063,-0.3168,0,126.164,0.1357,5.032,55.45,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
5.0000,-0.021,-0.1055,5.026,-0.063,-0.3168,0,126.164,0.1357,5.032,55.76,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
5.2000,-0.016,-0.0804,5.028,-0.063,-0.3168,0,126.164,0.1357,5.032,55.895,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
5.4000,0,0,5.028,-0.063,-0.3168,0,126.164,0.1357,5.032,55.922,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
5.6000,0,0,5.028,-0.063,-0.3168,0,126.164,0.1357,5.032,55.882,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
5.8000,-0.034,-0.171,5.028,-0.063,-0.3168,0,126.164,0.1357,5.032,56.11,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
6.0000,-0.01,-0.0503,5.026,-0.063,-0.3168,0,126.164,0.1357,5.032,56.137,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
6.2000,-0.025,-0.1256,5.024,-0.063,-0.3168,0,126.164,0.1357,5.032,56.056,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
6.4000,-0.013,-0.0654,5.028,-0.063,-0.3168,0,126.164,0.1357,5.032,56.191,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
6.6000,0.014,0.0704,5.028,-0.063,-0.3168,0,126.164,0.1357,5.032,56.231,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
6.8000,-0.013,-0.0654,5.028,-0.063,-0.3168,0,126.164,0.1357,5.032,56.097,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
7.0000,0.01,0.0503,5.026,-0.063,-0.3168,0,126.164,0.1357,5.032,56.286,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
7.2000,-0.016,-0.0804,5.026,-0.063,-0.3168,0,126.164,0.1357,5.032,56.029,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
7.4000,-0.015,-0.0754,5.028,-0.063,-0.3168,0,126.164,0.1357,5.032,56.204,0,0,-0.063,-0.3168,0,126.164,0.1357,5.032
7.6000,0.009,0.0452,5.026,-0.063,-0.3168,0,126.164,0.1458,5.032,56.164,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
7.8000,-0.016,-0.0804,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,56.123,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
8.0000,-0.028,-0.1408,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,56.164,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
8.2000,-0.012,-0.0603,5.026,-0.063,-0.3168,0,126.164,0.1458,5.032,56.056,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
8.4000,-0.029,-0.1458,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,56.164,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
8.6000,-0.01,-0.0503,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,56.123,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
8.8000,-0.017,-0.0854,5.026,-0.063,-0.3168,0,126.164,0.1458,5.032,55.908,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
9.0000,-0.03,-0.1508,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,56.177,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
9.2000,-0.019,-0.0955,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,56.299,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
9.4000,-0.033,-0.1659,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,56.218,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
9.6000,-0.039,-0.1961,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,56.042,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
9.8000,-0.016,-0.0804,5.026,-0.063,-0.3168,0,126.164,0.1458,5.032,56.11,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
10.0000,0.003,0.0151,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,56.257,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
10.2000,-0.029,-0.1458,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,56.136,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
10.4000,-0.032,-0.1609,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.974,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
10.6000,-0.031,-0.1558,5.026,-0.063,-0.3168,0,126.164,0.1458,5.032,56.001,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
10.8000,-0.014,-0.0704,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.866,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
11.0000,-0.003,-0.0151,5.03,-0.063,-0.3168,0,126.164,0.1458,5.032,56.176,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
11.2000,-0.019,-0.0955,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,56.122,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
11.4000,-0.018,-0.0905,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.731,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
11.6000,0,0,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.92,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
11.8000,-0.006,-0.0302,5.026,-0.063,-0.3168,0,126.164,0.1458,5.032,56.122,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
12.0000,-0.029,-0.1459,5.03,-0.063,-0.3168,0,126.164,0.1458,5.032,55.893,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
12.2000,-0.013,-0.0653,5.026,-0.063,-0.3168,0,126.164,0.1458,5.032,55.893,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
12.4000,-0.008,-0.0402,5.026,-0.063,-0.3168,0,126.164,0.1458,5.032,56.109,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
12.6000,-0.019,-0.0955,5.026,-0.063,-0.3168,0,126.164,0.1458,5.032,56.176,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
12.8000,-0.009,-0.0452,5.026,-0.063,-0.3168,0,126.164,0.1458,5.032,55.987,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
13.0000,-0.022,-0.1106,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,54.707,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
13.2000,-0.022,-0.1106,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,54.667,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
13.4000,-0.013,-0.0653,5.026,-0.063,-0.3168,0,126.164,0.1458,5.032,54.869,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
13.6000,-0.022,-0.1107,5.03,-0.063,-0.3168,0,126.164,0.1458,5.032,54.882,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
13.8000,-0.024,-0.1207,5.03,-0.063,-0.3168,0,126.164,0.1458,5.032,55.152,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
14.0000,-0.035,-0.176,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,54.923,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
14.2000,0.007,0.0352,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.057,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
14.4000,-0.014,-0.0704,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.367,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
14.6000,-0.022,-0.1106,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.314,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
14.8000,-0.017,-0.0855,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.353,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
15.0000,-0.027,-0.1358,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.488,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
15.2000,-0.015,-0.0754,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.597,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
15.4000,-0.01,-0.0503,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.34,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
15.6000,0,0,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.408,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
15.8000,0.011,0.0553,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.556,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
16.0000,-0.012,-0.0604,5.03,-0.063,-0.3168,0,126.164,0.1458,5.032,55.556,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
16.2000,-0.042,-0.2113,5.03,-0.063,-0.3168,0,126.164,0.1458,5.032,55.704,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
16.4000,-0.014,-0.0704,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.704,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
16.6000,-0.02,-0.1005,5.026,-0.063,-0.3168,0,126.164,0.1458,5.032,55.677,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
16.8000,-0.013,-0.0654,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.677,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
17.0000,-0.032,-0.1608,5.026,-0.063,-0.3168,0,126.164,0.1458,5.032,55.718,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
17.2000,0,0,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.812,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
17.4000,-0.022,-0.1106,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.704,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
17.6000,0,0,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.866,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
17.8000,-0.035,-0.1759,5.026,-0.063,-0.3168,0,126.164,0.1458,5.032,55.853,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
18.0000,-0.014,-0.0704,5.026,-0.063,-0.3168,0,126.164,0.1458,5.032,55.691,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
18.2000,-0.02,-0.1006,5.028,-0.063,-0.3168,0,126.164,0.1458,5.032,55.905,0,0,-0.063,-0.3168,0,126.164,0.1458,5.032
18.4000,0,0,5.028,-0.063,-0.3168,0,126.164,0.1459,5.032,55.932,0,0,-0.063,-0.3168,0,126.164,0.1459,5.032
18.6000,-0.016,-0.0804,5.026,-0.063,-0.3168,0,126.164,0.1459,5.032,56.068,0,0,-0.063,-0.3168,0,126.164,0.1459,5.032
18.8000,0.002,0.0101,5.026,-0.063,-0.3168,0,126.164,0.1459,5.032,55.921,0,0,-0.063,-0.3168,0,126.164,0.1459,5.032
19.0000,-0.034,-0.171,5.028,-0.063,-0.3168,0,126.164,0.1459,5.032,55.948,0,0,-0.063,-0.3168,0,126.164,0.1459,5.032
19.2000,-0.024,-0.1206,5.026,-0.063,-0.3168,0,126.164,0.1659,5.032,55.962,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
19.4000,-0.03,-0.1508,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,55.867,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
19.6000,-0.006,-0.0302,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,56.042,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
19.8000,-0.029,-0.1458,5.026,-0.063,-0.3168,0,126.164,0.1659,5.032,56.015,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
20.0000,0.005,0.0251,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,55.989,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
20.2000,-0.013,-0.0654,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,56.191,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
20.4000,-0.026,-0.1307,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,56.096,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
20.6000,-0.029,-0.1458,5.026,-0.063,-0.3168,0,126.164,0.1659,5.032,56.136,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
20.8000,-0.034,-0.1709,5.026,-0.063,-0.3168,0,126.164,0.1659,5.032,56.109,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
21.0000,-0.009,-0.0452,5.026,-0.063,-0.3168,0,126.164,0.1659,5.032,56.149,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
21.2000,-0.001,-0.005,5.026,-0.063,-0.3168,0,126.164,0.1659,5.032,56.297,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
21.4000,-0.009,-0.0452,5.026,-0.063,-0.3168,0,126.164,0.1659,5.032,55.934,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
21.6000,-0.015,-0.0754,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,56.19,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
21.8000,-0.017,-0.0855,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,56.149,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
22.0000,-0.005,-0.0251,5.026,-0.063,-0.3168,0,126.164,0.1659,5.032,56.082,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
22.2000,-0.026,-0.1307,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,56.231,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
22.4000,-0.017,-0.0855,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,56.258,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
22.6000,-0.049,-0.2464,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,56.11,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
22.8000,-0.012,-0.0603,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,56.378,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
23.0000,-0.009,-0.0453,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,54.977,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
23.2000,-0.033,-0.1659,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,54.937,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
23.4000,-0.002,-0.0101,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,54.749,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
23.6000,-0.028,-0.1408,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,55.193,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
23.8000,-0.023,-0.1156,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,55.395,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
24.0000,-0.02,-0.1006,5.03,-0.063,-0.3168,0,126.164,0.1659,5.032,55.059,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
24.2000,-0.013,-0.0653,5.024,-0.063,-0.3168,0,126.164,0.1659,5.032,55.343,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
24.4000,-0.008,-0.0402,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,55.491,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
24.6000,0.004,0.0201,5.026,-0.063,-0.3168,0,126.164,0.1659,5.032,55.545,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
24.8000,-0.009,-0.0452,5.026,-0.063,-0.3168,0,126.164,0.1659,5.032,55.786,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
25.0000,-0.009,-0.0453,5.03,-0.063,-0.3168,0,126.164,0.1659,5.032,55.8,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
25.2000,0,0,5.026,-0.063,-0.3168,0,126.164,0.1659,5.032,55.693,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
25.4000,-0.029,-0.1458,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,55.855,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
25.6000,0,0,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,56.057,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
25.8000,-0.025,-0.1256,5.024,-0.063,-0.3168,0,126.164,0.1659,5.032,56.096,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
26.0000,-0.015,-0.0754,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,56.11,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
26.2000,-0.001,-0.005,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,56.327,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
26.4000,-0.006,-0.0302,5.026,-0.063,-0.3168,0,126.164,0.1659,5.032,56.313,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
26.6000,-0.012,-0.0603,5.026,-0.063,-0.3168,0,126.164,0.1659,5.032,56.232,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
26.8000,-0.011,-0.0553,5.026,-0.063,-0.3168,0,126.164,0.1659,5.032,56.299,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
27.0000,-0.035,-0.176,5.028,-0.063,-0.3168,0,126.164,0.1659,5.032,56.555,0,0,-0.063,-0.3168,0,126.164,0.1659,5.032
27.2000,-0.014,-0.0704,5.028,-0.063,-0.3168,0,126.164,0.1709,5.032,56.178,0,0,-0.063,-0.3168,0,126.164,0.1709,5.032
27.4000,-0.004,-0.0201,5.028,-0.063,-0.3168,0,126.164,0.1709,5.032,56.488,0,0,-0.063,-0.3168,0,126.164,0.1709,5.032
27.6000,-0.012,-0.0603,5.028,-0.063,-0.3168,0,126.164,0.1709,5.032,56.394,0,0,-0.063,-0.3168,0,126.164,0.1709,5.032
27.8000,-0.021,-0.1055,5.026,-0.063,-0.3168,0,126.164,0.1709,5.032,56.515,0,0,-0.063,-0.3168,0,126.164,0.1709,5.032
28.0000,-0.029,-0.1458,5.026,-0.063,-0.3168,0,126.164,0.1709,5.032,56.543,0,0,-0.063,-0.3168,0,126.164,0.1709,5.032
28.2000,-0.019,-0.0955,5.026,-0.063,-0.3168,0,126.164,0.1709,5.032,56.448,0,0,-0.063,-0.3168,0,126.164,0.1709,5.032
28.4000,-0.004,-0.0201,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,56.448,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
28.6000,-0.015,-0.0754,5.026,-0.069,-0.3469,0,126.164,0.1709,5.032,56.111,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
28.8000,-0.029,-0.1457,5.024,-0.069,-0.3469,0,126.164,0.1709,5.032,56.327,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
29.0000,-0.03,-0.1508,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,56.488,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
29.2000,-0.013,-0.0653,5.026,-0.069,-0.3469,0,126.164,0.1709,5.032,56.178,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
29.4000,-0.012,-0.0603,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,56.246,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
29.6000,0,0,5.026,-0.069,-0.3469,0,126.164,0.1709,5.032,56.367,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
29.8000,-0.016,-0.0804,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,56.448,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
30.0000,-0.022,-0.1106,5.026,-0.069,-0.3469,0,126.164,0.1709,5.032,56.393,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
30.2000,-0.026,-0.1307,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,56.258,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
30.4000,-0.011,-0.0553,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,56.433,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
30.6000,-0.02,-0.1006,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,56.124,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
30.8000,-0.003,-0.0151,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,56.3,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
31.0000,-0.028,-0.1407,5.026,-0.069,-0.3469,0,126.164,0.1709,5.032,56.407,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
31.2000,-0.019,-0.0955,5.026,-0.069,-0.3469,0,126.164,0.1709,5.032,56.151,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
31.4000,-0.007,-0.0352,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,56.178,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
31.6000,-0.016,-0.0804,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,56.34,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
31.8000,-0.017,-0.0855,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,56.206,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
32.0000,-0.027,-0.1357,5.026,-0.069,-0.3469,0,126.164,0.1709,5.032,56.301,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
32.2000,-0.014,-0.0704,5.026,-0.069,-0.3469,0,126.164,0.1709,5.032,56.219,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
32.4000,-0.012,-0.0603,5.026,-0.069,-0.3469,0,126.164,0.1709,5.032,56.057,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
32.6000,-0.007,-0.0352,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,55.801,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
32.8000,-0.014,-0.0704,5.03,-0.069,-0.3469,0,126.164,0.1709,5.032,55.976,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
33.0000,-0.027,-0.1358,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,54.722,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
33.2000,-0.001,-0.005,5.03,-0.069,-0.3469,0,126.164,0.1709,5.032,54.398,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
33.4000,-0.03,-0.1509,5.03,-0.069,-0.3469,0,126.164,0.1709,5.032,54.614,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
33.6000,-0.014,-0.0704,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,54.762,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
33.8000,-0.02,-0.1006,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,54.856,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
34.0000,-0.028,-0.1407,5.026,-0.069,-0.3469,0,126.164,0.1709,5.032,54.897,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
34.2000,-0.031,-0.1559,5.028,-0.069,-0.3469,0,126.164,0.1709,5.032,55.18,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
34.4000,-0.03,-0.1507,5.024,-0.069,-0.3469,0,126.164,0.1709,5.032,55.072,0,0,-0.069,-0.3469,0,126.164,0.1709,5.032
