Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),Main Min Current (mA),Main Min Power (mW),Main Min Voltage (V),Main Max Current (mA),Main Max Power (mW),Main Max Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V),USB Min Current (mA),USB Min Power (mW),USB Min Voltage (V),USB Max Current (mA),USB Max Power (mW),USB Max Voltage (V)
0.2000,-0.014,-0.0703,5.018,-0.054,-0.271,0,65.083,0.0552,5.02,64.881,0,0,-0.054,-0.271,0,65.083,0.0552,5.02
0.4000,-0.039,-0.1957,5.018,-0.058,-0.291,0,65.123,0.0602,5.02,64.948,0,0,-0.058,-0.291,0,65.123,0.0602,5.02
0.6000,-0.027,-0.1355,5.018,-0.058,-0.291,0,65.123,0.0803,5.02,64.853,0,0,-0.058,-0.291,0,65.123,0.0803,5.02
0.8000,-0.03,-0.1505,5.018,-0.059,-0.2959,0,65.27,0.0803,5.02,64.921,0,0,-0.059,-0.2959,0,65.27,0.0803,5.02
1.0000,-0.04,-0.2007,5.018,-0.059,-0.2959,0,65.27,0.0803,5.02,64.935,0,0,-0.059,-0.2959,0,65.27,0.0803,5.02
1.2000,-0.018,-0.0903,5.018,-0.059,-0.2959,0,65.27,0.0803,5.02,65.041,0,0,-0.059,-0.2959,0,65.27,0.0803,5.02
1.4000,-0.022,-0.1104,5.016,-0.06,-0.3011,0,65.27,0.0803,5.02,64.853,0,0,-0.06,-0.3011,0,65.27,0.0803,5.02
1.6000,-0.007,-0.0351,5.018,-0.06,-0.3011,0,65.27,0.0803,5.02,64.797,0,0,-0.06,-0.3011,0,65.27,0.0803,5.02
1.8000,-0.017,-0.0853,5.018,-0.06,-0.3011,0,65.27,0.0803,5.02,64.797,0,0,-0.06,-0.3011,0,65.27,0.0803,5.02
2.0000,-0.034,-0.1706,5.018,-0.06,-0.3011,0,65.27,0.0803,5.02,64.609,0,0,-0.06,-0.3011,0,65.27,0.0803,5.02
2.2000,-0.007,-0.0351,5.018,-0.06,-0.3011,0,65.27,0.0803,5.02,64.89,0,0,-0.06,-0.3011,0,65.27,0.0803,5.02
2.4000,-0.02,-0.1004,5.018,-0.06,-0.3011,0,65.27,0.0953,5.02,64.567,0,0,-0.06,-0.3011,0,65.27,0.0953,5.02
2.6000,-0.029,-0.1455,5.016,-0.06,-0.3011,0,65.27,0.0953,5.02,64.606,0,0,-0.06,-0.3011,0,65.27,0.0953,5.02
2.8000,-0.014,-0.0703,5.018,-0.06,-0.3011,0,65.27,0.0953,5.02,64.659,0,0,-0.06,-0.3011,0,65.27,0.0953,5.02
3.0000,-0.046,-0.2309,5.02,-0.06,-0.3011,0,65.27,0.0953,5.02,64.713,0,0,-0.06,-0.3011,0,65.27,0.0953,5.02
3.2000,-0.02,-0.1004,5.018,-0.06,-0.3011,0,65.27,0.0953,5.02,64.753,0,0,-0.06,-0.3011,0,65.27,0.0953,5.02
3.4000,0.006,0.0295,4.92,-0.06,-0.3011,0,184.919,0.0953,5.026,182.021,0,0,-0.06,-0.3011,0,184.919,0.0953,5.026
3.6000,-0.007,-0.0344,4.92,-0.06,-0.3011,0,184.919,0.0953,5.026,181.991,0,0,-0.06,-0.3011,0,184.919,0.0953,5.026
3.8000,-0.014,-0.0703,5.024,-0.068,-0.3414,0,184.919,0.0953,5.026,57.473,0,0,-0.068,-0.3414,0,184.919,0.0953,5.026
4.0000,-0.015,-0.0754,5.024,-0.068,-0.3414,0,184.919,0.0953,5.026,57.366,0,0,-0.068,-0.3414,0,184.919,0.0953,5.026
4.2000,-0.017,-0.0854,5.024,-0.068,-0.3414,0,184.919,0.0955,5.026,57.108,0,0,-0.068,-0.3414,0,184.919,0.0955,5.026
4.4000,-0.014,-0.0703,5.024,-0.068,-0.3414,0,184.919,0.0955,5.026,57.216,0,0,-0.068,-0.3414,0,184.919,0.0955,5.026
4.6000,-0.031,-0.1557,5.024,-0.068,-0.3414,0,184.919,0.1206,5.026,57.229,0,0,-0.068,-0.3414,0,184.919,0.1206,5.026
4.8000,-0.03,-0.1504,5.014,-0.068,-0.3414,0,184.919,0.1206,5.026,69.602,0,0,-0.068,-0.3414,0,184.919,0.1206,5.026
5.0000,-0.024,-0.1206,5.024,-0.068,-0.3414,0,184.919,0.1206,5.026,57.202,0,0,-0.068,-0.3414,0,184.919,0.1206,5.026
5.2000,-0.014,-0.0703,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.094,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
5.4000,-0.013,-0.0653,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.148,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
5.6000,-0.029,-0.1457,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.067,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
5.8000,-0.016,-0.0802,5.014,-0.068,-0.3414,0,184.919,0.1457,5.026,69.777,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
6.0000,-0.025,-0.1256,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,56.972,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
6.2000,-0.027,-0.1356,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,56.999,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
6.4000,-0.029,-0.1457,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.052,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
6.6000,0.004,0.0201,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,56.904,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
6.8000,-0.003,-0.0151,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,56.85,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
7.0000,-0.026,-0.1306,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,56.971,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
7.2000,-0.018,-0.0904,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.012,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
7.4000,-0.001,-0.005,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.215,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
7.6000,0.01,0.0502,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.242,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
7.8000,-0.014,-0.0703,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.215,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
8.0000,-0.01,-0.0502,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.296,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
8.2000,-0.029,-0.1457,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.269,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
8.4000,-0.009,-0.0452,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.403,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
8.6000,0.009,0.0452,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.403,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
8.8000,-0.031,-0.1557,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.524,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
9.0000,-0.015,-0.0754,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.537,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
9.2000,-0.01,-0.0502,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.443,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
9.4000,0,0,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.66,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
9.6000,-0.014,-0.0703,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.741,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
9.8000,-0.031,-0.1557,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.687,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
10.0000,0.002,0.01,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.795,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
10.2000,-0.029,-0.1457,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.606,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
10.4000,-0.015,-0.0754,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.875,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
10.6000,-0.021,-0.1055,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.795,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
10.8000,-0.02,-0.1005,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.781,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
11.0000,-0.008,-0.0402,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.781,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
11.2000,-0.019,-0.0955,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.875,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
11.4000,-0.007,-0.0352,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.754,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
11.6000,-0.014,-0.0703,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,57.849,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
11.8000,-0.017,-0.0854,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.755,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
12.0000,-0.029,-0.1457,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.89,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
12.2000,-0.028,-0.1407,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.079,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
12.4000,-0.012,-0.0603,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.172,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
12.6000,-0.006,-0.0301,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.037,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
12.8000,-0.039,-0.1959,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,58.132,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
13.0000,-0.032,-0.1607,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,58.172,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
13.2000,-0.028,-0.1406,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,58.064,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
13.4000,-0.013,-0.0653,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,58.184,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
13.6000,-0.01,-0.0502,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,58.306,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
13.8000,-0.022,-0.1105,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.401,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
14.0000,-0.001,-0.005,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.226,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
14.2000,-0.018,-0.0904,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,58.159,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
14.4000,-0.022,-0.1105,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.239,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
14.6000,-0.013,-0.0653,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.266,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
14.8000,-0.006,-0.0301,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.413,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
15.0000,-0.02,-0.1004,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,58.13,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
15.2000,-0.004,-0.0201,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.306,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
15.4000,-0.006,-0.0301,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.347,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
15.6000,-0.009,-0.0452,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,58.401,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
15.8000,-0.025,-0.1256,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,58.455,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
16.0000,-0.014,-0.0689,4.92,-0.068,-0.3414,0,184.919,0.1457,5.026,180.973,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
16.2000,-0.031,-0.1525,4.92,-0.068,-0.3414,0,184.919,0.1457,5.026,181.121,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
16.4000,-0.013,-0.064,4.92,-0.068,-0.3414,0,184.919,0.1457,5.026,181.135,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
16.6000,-0.009,-0.0452,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,57.431,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
16.8000,-0.017,-0.0854,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.376,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
17.0000,-0.009,-0.0452,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.457,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
17.2000,-0.014,-0.0703,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.605,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
17.4000,0,0,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,57.78,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
17.6000,-0.022,-0.1105,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.686,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
17.8000,0.014,0.0703,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.633,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
18.0000,-0.006,-0.0301,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.606,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
18.2000,-0.027,-0.1356,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,57.727,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
18.4000,-0.007,-0.0352,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,59.142,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
18.6000,-0.029,-0.1453,5.012,-0.068,-0.3414,0,184.919,0.1457,5.026,70.1,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
18.8000,-0.011,-0.0553,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.822,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
19.0000,-0.001,-0.005,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,57.7,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
19.2000,-0.019,-0.0955,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.714,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
19.4000,-0.022,-0.1105,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.875,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
19.6000,-0.016,-0.0804,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,57.943,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
19.8000,0.001,0.005,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.024,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
20.0000,-0.025,-0.1256,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,58.078,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
20.2000,-0.022,-0.1105,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.212,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
20.4000,-0.015,-0.0754,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.238,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
20.6000,-0.022,-0.1105,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.36,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
20.8000,-0.016,-0.0804,5.022,-0.068,-0.3414,0,184.919,0.1457,5.026,58.347,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
21.0000,-0.024,-0.1206,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.509,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
21.2000,-0.017,-0.0854,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.455,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
21.4000,-0.014,-0.0703,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.455,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
21.6000,-0.017,-0.0854,5.026,-0.068,-0.3414,0,184.919,0.1457,5.026,58.522,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
21.8000,-0.02,-0.1005,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.536,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
22.0000,-0.02,-0.1005,5.024,-0.068,-0.3414,0,184.919,0.1457,5.026,58.495,0,0,-0.068,-0.3414,0,184.919,0.1457,5.026
22.2000,-0.012,-0.0603,5.022,-0.068,-0.3414,0,184.919,0.1557,5.026,58.522,0,0,-0.068,-0.3414,0,184.919,0.1557,5.026
22.4000,-0.023,-0.1156,5.024,-0.068,-0.3414,0,184.919,0.1557,5.026,58.59,0,0,-0.068,-0.3414,0,184.919,0.1557,5.026
22.6000,-0.01,-0.0502,5.024,-0.068,-0.3414,0,184.919,0.1557,5.026,58.563,0,0,-0.068,-0.3414,0,184.919,0.1557,5.026
