TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
42306,0,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.238874,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T14:31:22Z
43257,1,0.238874,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.238874,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T14:31:23Z
44264,2,0.238874,0.238874,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.238874,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T14:31:24Z
45294,3,0.238874,0.238874,0.238874,0.238874,0.000000,0.000000,0.000000,0.000000,0.238874,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T14:31:25Z
46278,4,0.238874,0.238874,0.238874,0.238874,0.238874,0.000000,0.000000,0.000000,0.238874,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T14:31:26Z
47293,5,0.238874,0.238874,0.238874,0.238874,0.238874,0.238874,0.000000,0.000000,0.238874,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T14:31:27Z
92528,0,0.477747,0.238874,0.238874,0.238874,0.238874,0.238874,0.000000,0.000000,0.238874,0.907407,9.000000,10.000000,0.000000,1.000000,1.000000,0.238874,11.000000,0.000000,1.000000,1.000000,0.238874,11.000000,0.000000,1.000000,1.000000,0.238874,11.000000,0.000000,1.000000,1.000000,0.238874,11.000000,0.000000,1.000000,1.000000,0.238874,11.000000,0.000000,1.000000,1.000000,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T14:32:13Z
93535,1,0.477747,0.477747,0.238874,0.238874,0.238874,0.238874,0.000000,0.000000,0.238874,0.888889,9.000000,10.000000,0.000000,1.000000,1.000000,0.238874,10.000000,0.000000,1.000000,1.000000,0.238874,11.000000,0.000000,1.000000,1.000000,0.238874,11.000000,0.000000,1.000000,1.000000,0.238874,11.000000,0.000000,1.000000,1.000000,0.238874,11.000000,0.000000,1.000000,1.000000,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T14:32:14Z
94532,2,0.477747,0.477747,0.477747,0.238874,0.238874,0.238874,0.000000,0.000000,0.238874,0.900000,9.000000,10.000000,0.000000,1.000000,1.000000,0.238874,10.000000,0.000000,1.000000,1.000000,0.238874,10.000000,0.000000,1.000000,1.000000,0.238874,11.000000,0.000000,1.000000,1.000000,0.238874,11.000000,0.000000,1.000000,1.000000,0.238874,11.000000,0.000000,1.000000,1.000000,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T14:32:15Z
95541,3,0.477747,0.477747,0.477747,0.477747,0.238874,0.238874,0.000000,0.000000,0.238874,0.925926,9.000000,10.000000,0.000000,1.000000,1.000000,0.238874,10.000000,0.000000,1.000000,1.000000,0.238874,10.000000,0.000000,1.000000,1.000000,0.238874,10.000000,0.000000,1.000000,1.000000,0.238874,11.000000,0.000000,1.000000,1.000000,0.238874,11.000000,0.000000,1.000000,1.000000,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-21T14:32:16Z
