TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
51629,0,0.260479,0,0,0,0,0,0,0,0,0,0,0,0.260479,NaN,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-27T18:39:21Z
52631,1,0.260479,0.260479,0,0,0,0,0,0,0,0,0,0,0.260479,NaN,1,11,0,1,1,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-27T18:39:22Z
53647,2,0.260479,0.260479,0.260479,0,0,0,0,0,0,0,0,0,0.260479,NaN,1,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-27T18:39:23Z
54645,3,0.260479,0.260479,0.260479,0.260479,0,0,0,0,0,0,0,0,0.260479,NaN,1,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-27T18:39:24Z
55659,4,0.260479,0.260479,0.260479,0.260479,0.260479,0,0,0,0,0,0,0,0.260479,NaN,1,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-27T18:39:25Z
56669,5,0.260479,0.260479,0.260479,0.260479,0.260479,0.260479,0,0,0,0,0,0,0.260479,NaN,1,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-27T18:39:26Z
57685,6,0.260479,0.260479,0.260479,0.260479,0.260479,0.260479,0.260479,0,0,0,0,0,0.260479,NaN,1,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-27T18:39:27Z
58691,7,0.260479,0.260479,0.260479,0.260479,0.260479,0.260479,0.260479,0.260479,0,0,0,0,0.260479,NaN,1,11,0,1,1,0,11,0,0.8,0.8,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-27T18:39:28Z
59698,8,0.260479,0.260479,0.260479,0.260479,0.260479,0.260479,0.260479,0.260479,0.260479,0,0,0,0.260479,NaN,1,11,0,0.8,0.8,0,11,0,0.8,0.8,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-03-27T18:39:29Z
60697,9,0.260479,0.260479,0.260479,0.260479,0.260479,0.260479,0.260479,0.260479,0.260479,0.260479,0,0,0.260479,NaN,1,11,0,0.8,0.8,0,11,0,0.8,0.8,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2023-03-27T18:39:30Z
